lat,lng
22.55468642,114.1281673
22.649534,114.01931
22.54505915,113.920368
22.646216,114.033831
22.57104936,114.0497685
22.503056,113.945355
22.503186,113.927677
22.644804,114.034269
22.66456811,113.823402
22.541456,113.992968
22.592306,114.246667
22.516207,113.931629
22.51623,113.909861
22.63185224,114.0324369
22.59286676,113.8970319
22.76318,113.827094
22.52907384,114.0761815
22.635875,114.031341
22.527246,113.935046
22.569511,113.888606
22.638524,114.026365
22.55937621,114.1474634
22.648719,114.184692
22.55345611,114.1395276
22.555837,114.128699
22.734572,114.23395
22.545758,113.925415
22.638524,114.026365
22.529564,113.93375
22.529564,113.93375
22.5376285,113.9243588
22.515088,113.924197
22.523262,113.936296
22.555308,114.146576
22.551524,114.096216
22.55960917,114.029032
22.54643185,113.951137
22.55211742,114.1203583
22.63807016,114.032882
22.574094,114.079995
22.668569,114.227142
22.532931,114.051567
22.531725,114.08287
22.5644024,114.0557412
22.617285,114.075097
22.63369446,114.0410558
22.72516904,114.260582
22.60058697,113.9692702
22.655097,114.0756
22.566743,113.88482
22.53308733,114.05088
22.556008,114.162258
22.52700902,113.9334953
22.58208715,114.1454304
22.612636,114.136874
22.57507276,114.0651616
22.633317,114.024532
22.53212143,114.0547832
22.6443,114.035957
22.525574,114.058592
22.53418,113.930584
22.612684,114.137279
22.484402,113.938293
22.57007076,114.1046135
22.572109,113.909988
22.561015,114.099731
22.532782,113.931572
22.655875,114.034306
22.574039,113.874584
22.560728,113.890078
22.62759679,114.0580491
22.533448,114.072327
22.52904514,113.9307312
22.576773,114.064506
22.55826419,114.1312813
22.775895,113.838651
22.56353291,114.1393861
22.55488772,113.9101093
22.72745422,114.2437533
22.52279098,113.9311221
22.55926432,114.1161611
22.54506589,113.9805175
22.5679156,113.9033278
22.536747,114.061312
22.53863733,114.0971352
22.737428,114.228408
22.538114,114.093028
22.720588,114.06193
22.775895,113.838651
22.56046423,114.1342366
22.529206,114.060455
22.51212237,113.9316039
22.560305,113.927414
22.57449559,113.8607144
22.529876,114.049866
22.540049,114.069225
22.485198,113.893323
22.55287369,114.0728766
22.49192039,113.9286281
22.57114,114.096669
22.492091,113.935478
22.54718,114.054063
22.52807,114.034108
22.54440409,114.1202074
22.578624,114.135838
22.55086691,113.9331903
22.5437916,114.1195886
22.52976788,114.0518902
22.518611,113.93498
22.539983,114.0328121
22.5303996,114.0439572
22.704719,114.240139
22.546078,114.030842
22.52154505,113.9143262
22.495501,113.921885
22.533441,113.957804
22.518611,113.93498
22.530302,114.048486
22.510947,113.93143
22.525388,113.933153
22.534058,114.031746
22.54506589,113.9805175
22.614605,114.144887
22.638598,114.066332
22.52279098,113.9311221
22.5148546,113.9425788
22.665143,114.043482
22.62316964,114.0511038
22.614605,114.144887
0,0
22.539778,113.91923
22.56805,113.915688
22.612203,113.849216
22.598138,114.142646
22.694914,114.229022
22.5404,114.113761
22.564466,114.045564
22.489865,113.927583
22.55110202,114.013371
22.55407,114.14559
22.656623,114.029918
22.554631,113.953375
22.547627,114.05049
22.73554,114.265138
22.54505915,113.920368
22.54985,114.120607
